data_ref,commodity,ticker,preco_raw,volume,fonte,data_coleta
2024-08-30,soja,ZS=F,982.0,2055,Yahoo Finance / CBOT,2026-03-21
2024-09-03,soja,ZS=F,997.0,518,Yahoo Finance / CBOT,2026-03-21
2024-09-04,soja,ZS=F,1006.0,382,Yahoo Finance / CBOT,2026-03-21
2024-09-05,soja,ZS=F,1008.25,309,Yahoo Finance / CBOT,2026-03-21
2024-09-06,soja,ZS=F,989.25,122,Yahoo Finance / CBOT,2026-03-21
2024-09-09,soja,ZS=F,1000.0,122,Yahoo Finance / CBOT,2026-03-21
2024-09-10,soja,ZS=F,977.5,59,Yahoo Finance / CBOT,2026-03-21
2024-09-11,soja,ZS=F,979.75,25,Yahoo Finance / CBOT,2026-03-21
2024-09-12,soja,ZS=F,991.5,4,Yahoo Finance / CBOT,2026-03-21
2024-09-13,soja,ZS=F,986.75,120065,Yahoo Finance / CBOT,2026-03-21
2024-09-16,soja,ZS=F,1004.5,79098,Yahoo Finance / CBOT,2026-03-21
2024-09-17,soja,ZS=F,1006.0,80303,Yahoo Finance / CBOT,2026-03-21
2024-09-18,soja,ZS=F,1014.0,147447,Yahoo Finance / CBOT,2026-03-21
2024-09-19,soja,ZS=F,1013.25,116585,Yahoo Finance / CBOT,2026-03-21
2024-09-20,soja,ZS=F,1012.0,128091,Yahoo Finance / CBOT,2026-03-21
2024-09-23,soja,ZS=F,1039.25,220319,Yahoo Finance / CBOT,2026-03-21
2024-09-24,soja,ZS=F,1042.25,206134,Yahoo Finance / CBOT,2026-03-21
2024-09-25,soja,ZS=F,1053.25,175631,Yahoo Finance / CBOT,2026-03-21
2024-09-26,soja,ZS=F,1041.0,191090,Yahoo Finance / CBOT,2026-03-21
2024-09-27,soja,ZS=F,1065.75,237043,Yahoo Finance / CBOT,2026-03-21
2024-09-30,soja,ZS=F,1057.0,167653,Yahoo Finance / CBOT,2026-03-21
2024-10-01,soja,ZS=F,1057.25,165015,Yahoo Finance / CBOT,2026-03-21
2024-10-02,soja,ZS=F,1056.0,158797,Yahoo Finance / CBOT,2026-03-21
2024-10-03,soja,ZS=F,1046.0,126126,Yahoo Finance / CBOT,2026-03-21
2024-10-04,soja,ZS=F,1037.75,136658,Yahoo Finance / CBOT,2026-03-21
2024-10-07,soja,ZS=F,1034.0,170260,Yahoo Finance / CBOT,2026-03-21
2024-10-08,soja,ZS=F,1016.25,215735,Yahoo Finance / CBOT,2026-03-21
2024-10-09,soja,ZS=F,1020.25,185293,Yahoo Finance / CBOT,2026-03-21
2024-10-10,soja,ZS=F,1014.75,158953,Yahoo Finance / CBOT,2026-03-21
2024-10-11,soja,ZS=F,1005.5,213825,Yahoo Finance / CBOT,2026-03-21
2024-10-14,soja,ZS=F,996.0,165943,Yahoo Finance / CBOT,2026-03-21
2024-10-15,soja,ZS=F,991.0,239187,Yahoo Finance / CBOT,2026-03-21
2024-10-16,soja,ZS=F,980.0,247535,Yahoo Finance / CBOT,2026-03-21
2024-10-17,soja,ZS=F,988.75,236377,Yahoo Finance / CBOT,2026-03-21
2024-10-18,soja,ZS=F,970.0,229536,Yahoo Finance / CBOT,2026-03-21
2024-10-21,soja,ZS=F,981.0,184725,Yahoo Finance / CBOT,2026-03-21
2024-10-22,soja,ZS=F,991.75,185249,Yahoo Finance / CBOT,2026-03-21
